Word,Frequency,Part-of-speech,Percentage So Far
 مِن,3226,Preposition,4.352284072
 ٱللَّه,2699,Proper noun,7.993578155
 فِى,1701,Preposition,10.28844338
 إِنّ,1682,Accusative particle,12.55767518
قَالَ,1618,Verb,14.74056286
 عَلَىٰ,1445,Preposition,16.69005154
 ٱلَّذِى,1442,Relative pronoun,18.63549284
 لَا,1364,Negative particle,20.47570222
كَانَ,1358,Verb,22.30781684
 مَا,1266,Relative pronoun,24.01581177
 رَبّ,975,Noun,25.33121071
 إِلَىٰ,742,Preposition,26.33226303
 مَا,704,Negative particle,27.28204851
 مَن,606,Relative pronoun,28.09961955
 إِن,578,Conditional particle,28.87941502
 أَن,578,Subordinating conjunction,29.65921049
 إِلَّا,558,Restriction particle,30.41202342
ءَامَنَ,537,Verb,31.13650468
 ذَٰلِك,520,Demonstrative pronoun,31.83805078
 عَن,465,Preposition,32.46539489
 أَرْض,461,Noun,33.08734249
 قَد,406,Particle of certainty,33.6350881
 إِذَا,405,Time adverb,34.18148458
 قَوْم,383,Noun,34.69820026
 ءَايَة,382,Noun,35.21356682
عَلِمَ,382,Verb,35.72893338
 أَنّ,362,Accusative particle,36.2173174
 كُلّ,358,Noun,36.7003049
 لَم,353,Negative particle,37.17654677
جَعَلَ,340,Verb,37.63524999
 ثُمّ,338,Coordinating conjunction,38.09125496
 رَسُول,332,Noun,38.53916516
 لَا,327,Prohibition particle,38.98032973
 يَوْم,325,Noun,39.41879604
 عَذَاب,322,Noun,39.85321497
 هَٰذَا,317,Demonstrative pronoun,40.28088827
 سَمَآء,310,Noun,40.69911767
 نَفْس,295,Noun,41.09711017
كَفَرَ,289,Verb,41.48700791
 شَىْء,283,Noun,41.86881088
 أَو,280,Coordinating conjunction,42.24656647
جَآءَ,278,Verb,42.62162381
عَمِلَ,276,Verb,42.99398289
آتَى,271,Verb,43.35959634
رَءَا,271,Verb,43.72520979
أَتَى,264,Verb,44.08137935
 كِتَٰب,260,Noun,44.4321524
 بَيْن,243,Location adverb,44.75999029
 حَقّ,242,Noun,45.08647905
 نَّاس,241,Noun,45.41161868
 إِذ,239,Time adverb,45.73406006
شَآءَ,236,Verb,46.05245406
 أُولَٰٓئِك,204,Demonstrative pronoun,46.32767599
 قَبْل,197,Noun,46.59345404
 مُؤْمِن,195,Noun,46.85653382
 لَو,184,Conditional particle,47.10477321
 مَن,184,Conditional particle,47.3530126
خَلَقَ,184,Verb,47.60125199
أَنزَلَ,183,Verb,47.84814225
 سَبِيل,176,Noun,48.08558862
كَذَّبَ,176,Verb,48.323035
دَعَا,170,Verb,48.55238661
 أَمْر,166,Noun,48.77634171
ٱتَّقَىٰ,166,Verb,49.00029681
 عِند,160,Location adverb,49.21615715
 مَع,159,Location adverb,49.43066836
 بَعْض,157,Noun,49.64248131
 لَمَّا,156,Time adverb,49.85294514
 أَيُّهَا,153,Noun,50.05936159
 خَيْر,148,Noun,50.25903241
 إِلَٰه,147,Noun,50.45735409
 نَار,145,Noun,50.65297752
 غَيْر,144,Noun,50.84725183
هَدَى,144,Verb,51.04152613
أَرَادَ,139,Verb,51.2290548
 أَم,137,Coordinating conjunction,51.41388522
 مُوسَىٰ,136,Proper noun,51.5973665
ٱتَّبَعَ,136,Verb,51.78084779
 دُون,135,Noun,51.96297995
 آخِر,133,Noun,52.14241386
 بَعْد,133,Noun,52.32184776
 قَلْب,132,Noun,52.49993254
 عَبْد,131,Noun,52.6766682
أَرْسَلَ,130,Verb,52.85205472
 أَهْل,127,Noun,53.02339386
أَخَذَ,127,Verb,53.19473301
ٱتَّخَذَ,124,Verb,53.36202477
 لَعَلّ,123,Accusative particle,53.52796741
 بَل,122,Retraction particle,53.69256091
عَبَدَ,122,Verb,53.85715442
 يَد,120,Noun,54.01904967
 كَٰفِرُون,119,Noun,54.1795958
 إِن,114,Negative particle,54.33339629
 رَحْمَة,114,Noun,54.48719678
 رَّحِيم,112,Adjective,54.63829902
ظَلَمَ,110,Verb,54.786703
سَأَلَ,106,Verb,54.92971048
وَجَدَ,106,Verb,55.07271795
 أَجْر,105,Noun,55.2143763
 ظَالِم,105,Noun,55.35603465
 عِلْم,105,Noun,55.49769299
 عَظِيم,104,Adjective,55.63800221
 لَن,104,Negative particle,55.77831143
 إِلَّا,102,Exceptive particle,55.9159224
 عَلِيم,101,Adjective,56.05218424
